Lot Num,Artist Name,Year Of Artwork,Genre,Real Price Usd,Event Date,country,TotalSales
5273493,Erro,2012,Paintings,"4,509",3/28/2014,France,1
5273494,Erro,2012,Paintings,"15,363",3/28/2014,France,1
5273495,Erro,1986,Paintings,"14,742",3/28/2014,France,1
5298333,Erro,1980,Paintings,"9,997",4/29/2014,France,1
5299910,Erro,1991,Prints,903,4/8/2014,France,1
5300007,Erro,2007,Prints,802,4/8/2014,France,1
5300008,Erro,2001,Prints,752,4/8/2014,France,1
5300010,Erro,2001,Prints,602,4/8/2014,France,1
5301566,Erro,1974,Paintings,"153,417",4/9/2014,France,1
5301568,Erro,1963,Paintings,"42,203",4/9/2014,France,1
5302491,Erro,1961,Paintings,"10,415",4/10/2014,France,1
5302499,Erro,1976,Paintings,"19,528",4/10/2014,France,1
5302500,Erro,2002,Paintings,"24,736",4/10/2014,France,1
5304130,Erro,2011,Paintings,"17,597",4/27/2014,Belgium,1
5316068,Erro,1976,Paintings,"29,673",6/4/2014,France,1
5316810,Erro,2001,Prints,null,3/1/2014,France,1
5316811,Erro,2001,Prints,null,3/1/2014,France,1
5316812,Erro,2001,Prints,null,3/1/2014,France,1
5316813,Erro,2001,Prints,null,3/1/2014,France,1
5316814,Erro,2001,Prints,null,3/1/2014,France,1
5317367,Erro,2006,Paintings,null,3/1/2014,France,1
5317368,Erro,2010,Paintings,null,3/1/2014,France,1
5317369,Erro,2012,Paintings,null,3/1/2014,France,1
5317370,Erro,2008,Paintings,null,3/1/2014,France,1
5317371,Erro,2013,Prints,652,3/1/2014,France,1
5328468,Erro,null,Works on Paper,null,4/27/2014,France,1
5328469,Erro,2000,Paintings,"4,876",4/27/2014,France,1
5328481,Erro,1962,Paintings,null,4/27/2014,France,1
5328486,Erro,1970,Paintings,"45,973",4/27/2014,France,1
5329738,Erro,2012,Paintings,null,4/9/2014,France,1
5338044,Erro,2006,Prints,364,4/23/2014,UK,1
5338891,Erro,1962,Works on Paper,348,5/21/2014,USA,1
5339295,Erro,2010,Paintings,"5,183",5/18/2014,France,1
5340242,Erro,2005,Prints,null,4/23/2014,UK,1
5340246,Erro,2005,Prints,null,4/23/2014,UK,1
5343893,Erro,1992,Prints,null,4/24/2014,Belgium,1
5346612,Erro,2013,Paintings,null,7/28/2014,France,1
5346614,Erro,2012,Paintings,"3,617",7/28/2014,France,1
5348728,Erro,1968,Paintings,"29,717",6/3/2014,France,1
5348729,Erro,1969,Paintings,"49,033",6/3/2014,France,1
5348733,Erro,1987,Paintings,"28,478",6/3/2014,France,1
5355671,Erro,1985,Prints,null,5/7/2014,Australia,1
5363137,Erro,2001,Paintings,null,6/24/2014,France,1
5392721,Erro,1961,Works on Paper,"1,483",6/23/2014,France,1
5394079,Erro,1999,Works on Paper,"3,065",6/25/2014,France,1
5394081,Erro,1990,Paintings,"11,494",6/25/2014,France,1
5394257,Erro,1959,Paintings,"23,953",7/6/2014,France,1
5394275,Erro,1985,Works on Paper,null,7/6/2014,France,1
5395592,Erro,2012,Paintings,null,6/25/2014,France,1
5395593,Erro,2010,Paintings,null,6/25/2014,France,1
5397368,Erro,2011,Paintings,"2,826",9/6/2014,USA,1
